,Coordinates,Date,Location,Place,Query,ScreenName,Text,TweetId,UserId,Cat,State
18,"{'type': 'Point', 'coordinates': [-112.068172, 33.639934]}",Sun Mar 17 19:12:15 +0000 2019,"Phoenix, AZ","{'id': '5c62ffb0f0f3479d', 'url': 'https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json', 'place_type': 'city', 'name': 'Phoenix', 'full_name': 'Phoenix, AZ', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]}, 'attributes': {}}",Panerabread,SWTesterAZ,"I'm at @PaneraBread in Phoenix, AZ https://t.co/f3cQn8Bf2x",1107359007814156288,2390011033,healthy,az
19,,Sun Mar 17 19:07:28 +0000 2019,,,Panerabread,seersuckersass,"I love you @panerabread, but I’m going to need a smidge more dressing than this. https://t.co/R2APfVGo9d",1107357801846853632,570464111,healthy,probably not us
20,,Sun Mar 17 19:04:32 +0000 2019,,,Panerabread,_deshaundupree,Yup https://t.co/Cbeb7sVUQg,1107357064274296832,248945723,healthy,probably not us
21,,Sun Mar 17 19:01:11 +0000 2019,ATL-NC,,Panerabread,_photobae,Now Panera... https://t.co/8ruRIXHjxr,1107356220720062465,364878391,healthy,probably not us
22,,Sun Mar 17 19:00:01 +0000 2019,"Lee's Summit, MO",,Panerabread,jruthpark,Absolutely not https://t.co/McMUKUdSiX,1107355928440070146,875489830737780736,healthy,mo
23,,Sun Mar 17 18:57:50 +0000 2019,"USA,NC",,Panerabread,Rickjr2448883,RT @panerabread: Here’s to hoping you find your pot of gold. #StPaddysDay https://t.co/KihkBvVGb7,1107355378709397504,46705290,healthy,nc
24,,Sun Mar 17 18:56:53 +0000 2019,,,Panerabread,nikolajhamilton,not this time @panerabread https://t.co/PFjuVZd3z4,1107355140279988226,2828626561,healthy,probably not us
25,,Sun Mar 17 18:55:40 +0000 2019,Rhyl  Wales,,Panerabread,scousemouse11,"@panerabread Mine is so wrong, i hate vegetables 😂",1107354832065753088,260150738,healthy,probably not us
26,,Sun Mar 17 18:55:11 +0000 2019,Tampa FL,,Panerabread,bobbiekingsbury,RT @panerabread: Mac + tomato soup = a combo so obviously delicious you’ll wonder why you didn’t try it sooner. Visit https://t.co/NJ5BGEhp…,1107354710984589312,334080944,healthy,probably not us
27,,Sun Mar 17 18:54:06 +0000 2019,"Englewood, NJ",,Panerabread,natallialoves,@Jaymfbee @panerabread Buccas... oooooor PB,1107354437302005761,108778559,healthy,nj
28,,Sun Mar 17 18:53:12 +0000 2019,NJ,,Panerabread,swayz68,@panerabread Couldn’t be more wrong...  I like all the soups on there except the soup for my sign.,1107354210599882752,492840876,healthy,probably not us
29,,Sun Mar 17 18:51:48 +0000 2019,"Inglewood, CA",,Panerabread,KateCar47016889,"RT @SocialBflyMag: Feeling Lucky? More on our Instagram&amp;YouTube. Subscribed? #win March $250 Gift Card:
@Cheesecake  @Sephora  @BedBathBeyo…",1107353859851202560,1096185971991855104,healthy,ca
30,,Sun Mar 17 18:49:28 +0000 2019,"Illinois, USA (In the lair)",,Panerabread,AdvisorMelody,Aquarius one is eerily accurate for me! 😂 https://t.co/y1effjkEeR,1107353274582216705,971144957414334465,healthy,probably not us
31,,Sun Mar 17 18:45:41 +0000 2019,SE DC,,Panerabread,BurberryBeanz,RT @panerabread: Here’s to hoping you find your pot of gold. #StPaddysDay https://t.co/KihkBvVGb7,1107352320113852422,236976199,healthy,probably not us
32,,Sun Mar 17 18:44:28 +0000 2019,,,Panerabread,patrisiagrasyuk,RT @panerabread: Here’s to hoping you find your pot of gold. #StPaddysDay https://t.co/KihkBvVGb7,1107352015884161024,838134738632208384,healthy,probably not us
33,,Sun Mar 17 18:40:34 +0000 2019,"New Jersey, USA",,Panerabread,Jaymfbee,@natallialoves @panerabread Buccas?,1107351031963357184,949668387164180480,healthy,nj
34,,Sun Mar 17 18:39:20 +0000 2019,"USA,NC",,Panerabread,Rickjr2448883,RT @panerabread: You’ve picked two but will #YouMix2? Our MyPanera members shared their favorite soup hacks using You Pick Two menu items.…,1107350722633523201,46705290,healthy,nc
35,,Sun Mar 17 18:37:13 +0000 2019,"Englewood, NJ",,Panerabread,natallialoves,@panerabread @Jaymfbee PB??,1107350191705915398,108778559,healthy,nj
36,,Sun Mar 17 18:35:49 +0000 2019," 𝓣𝓪𝓴𝓮𝓷 4/25/18 Bronx , NY",,Panerabread,JMillersolider,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107349839422124032,2568092811,healthy,ny
37,,Sun Mar 17 18:35:25 +0000 2019,Kweenz,,Panerabread,Ms_MaryContrary,@panerabread No.,1107349736821018626,25282219,healthy,probably not us
38,,Sun Mar 17 18:34:36 +0000 2019,"Washington, DC",,Panerabread,screenwriter32,@StrawberryVotes @panerabread Same!,1107349531467939842,154675720,healthy,probably not us
39,,Sun Mar 17 18:32:12 +0000 2019,New York City,,Panerabread,arianna_says,"Overheard @panerabread:

Girl to friend: Some people are Instagram pretty...but you're like...real pretty",1107348927156760577,1194350856,healthy,probably not us
40,,Sun Mar 17 18:31:43 +0000 2019,,,Panerabread,al_nelson__,This ain’t it. I wouldn’t eat this even if it was free https://t.co/On8GXWeYtE,1107348806406934529,538345219,healthy,probably not us
41,,Sun Mar 17 18:29:13 +0000 2019,in the damn buick,,Panerabread,bubbleteafett,@fuckdylan420 @panerabread That looks lit,1107348175692664832,744474355,healthy,probably not us
42,,Sun Mar 17 18:27:52 +0000 2019,,,Panerabread,katheryngrissom,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107347836700643328,212656919,healthy,probably not us
43,,Sun Mar 17 18:26:47 +0000 2019,"Dixon, IL",,Panerabread,arysueann,MY FAVE https://t.co/iC591pbcLC,1107347563966021633,818289908607492096,healthy,il
44,,Sun Mar 17 18:25:30 +0000 2019,"Chicago, IL ✈️ Dallas, TX",,Panerabread,BaldheadedBri,wow mine is right lol https://t.co/soBvcMxeN8,1107347241289826304,121914110,healthy,probably not us
45,,Sun Mar 17 18:23:44 +0000 2019,NYC ,,Panerabread,Chelsea_Blaney,consistently super bummed that @panerabread won’t deliver to my office,1107346797540847618,303999212,healthy,probably not us
46,,Sun Mar 17 18:22:16 +0000 2019,"Andover, KS",,Panerabread,ProfBoyacioglu,"RT @bakemag: The new You Mix Two menu from @panerabread lets customers fuse salads, sandwiches, and soups in unique ways. https://t.co/TAw4…",1107346429180329984,810691321321099268,healthy,ks
47,,Sun Mar 17 18:19:22 +0000 2019,The path God made for me ,,Panerabread,CuraAjianee,No actually I love Broccoli Cheddar https://t.co/arieXc55eh,1107345697915969537,135329003,healthy,probably not us
48,,Sun Mar 17 18:19:03 +0000 2019,United States,,Panerabread,nancycc212,RT @panerabread: Mac + tomato soup = a combo so obviously delicious you’ll wonder why you didn’t try it sooner. Visit https://t.co/NJ5BGEhp…,1107345618551390215,3865643919,healthy,probably not us
49,,Sun Mar 17 18:17:47 +0000 2019,with my penguin family,,Panerabread,ruthhxsaladd,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107345298127347717,728839574672187393,healthy,probably not us
50,,Sun Mar 17 18:16:16 +0000 2019,United States,,Panerabread,RJScratchnSniff,"@panerabread Gross, French Onion soup needs to be cast into the fires of Mount Doom.",1107344916861120514,1058469249671401472,healthy,probably not us
51,,Sun Mar 17 18:16:15 +0000 2019,"Huntsville, AL 🚀","{'id': '76c1bb41d3de7ff1', 'url': 'https://api.twitter.com/1.1/geo/id/76c1bb41d3de7ff1.json', 'place_type': 'city', 'name': 'Huntsville', 'full_name': 'Huntsville, AL', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-86.7858813, 34.5784264], [-86.4369414, 34.5784264], [-86.4369414, 34.833627], [-86.7858813, 34.833627]]]}, 'attributes': {}}",Panerabread,madeline_rae08,I see u Panera 👀 https://t.co/vHmMtX3Hp4,1107344915434999810,253285027,healthy,probably not us
52,,Sun Mar 17 18:14:49 +0000 2019,"Indianapolis, IN",,Panerabread,claire_enns,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107344553655320577,133428156,healthy,in
53,,Sun Mar 17 18:12:28 +0000 2019,,,Panerabread,CherokeeSeq,St. Louis Bread Co or simply Bread Co every day! https://t.co/aGZdof7vxS,1107343961893543939,1496877518,healthy,probably not us
54,,Sun Mar 17 18:12:26 +0000 2019,"Groves, TX",,Panerabread,morganplagman,RT @DanceMarathonLU: Refuel after St.Patricks Day and join us @panerabread  for some delicious food. Help change a kids life one bite at a…,1107343953030975488,3322563392,healthy,tx
55,,Sun Mar 17 18:12:20 +0000 2019,"Washington, USA",,Panerabread,kendraemani,@panerabread So it’s basically cheesy spaghetti lol,1107343927089090560,136287698,healthy,wa
56,,Sun Mar 17 18:12:20 +0000 2019,,,Panerabread,karlew1959,@SocialBflyMag @Cheesecake @Sephora @BedBathBeyond @saks @panerabread @Spafinder @lordandtaylor I love those socks.,1107343927085015040,27521800,healthy,probably not us
57,,Sun Mar 17 18:12:05 +0000 2019,,,Panerabread,karlew1959,"RT @SocialBflyMag: Feeling Lucky? More on our Instagram&amp;YouTube. Subscribed? #win March $250 Gift Card:
@Cheesecake  @Sephora  @BedBathBeyo…",1107343865944653825,27521800,healthy,probably not us
58,,Sun Mar 17 18:10:19 +0000 2019,,,Panerabread,brooke123123,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107343422199865345,1152294709,healthy,probably not us
59,,Sun Mar 17 18:09:37 +0000 2019,,,Panerabread,sukimoto1000,RT @panerabread: 2018: Soup and Sandwich. 2019: Soup ON sandwich. Check out all the #YouMix2 hacks here: https://t.co/NJ5BGEhpfY. https://t…,1107343242352197633,937556448,healthy,probably not us
60,,Sun Mar 17 18:09:13 +0000 2019,,,Panerabread,TheDarcyUsher,@Trampico @panerabread Lol please no,1107343142540529664,792574681425391617,healthy,probably not us
61,,Sun Mar 17 18:07:45 +0000 2019,28 | Ohio,,Panerabread,denaeejb17,Yaasss @panerabread it was literally the only thing I got from there. Now I don’t go there. https://t.co/wCYgonFJqv,1107342774859386880,310017277,healthy,probably not us
62,,Sun Mar 17 18:07:02 +0000 2019,,,Panerabread,LiscanoBinladan,RT @panerabread: 2018: Soup and Sandwich. 2019: Soup ON sandwich. Check out all the #YouMix2 hacks here: https://t.co/NJ5BGEhpfY. https://t…,1107342591933194242,975836066744737792,healthy,probably not us
63,,Sun Mar 17 18:06:25 +0000 2019,"South Dakota, USA",,Panerabread,Trampico,Is Panera Bread keto-friendly? @panerabread,1107342437868101633,2331016566,healthy,sd
64,,Sun Mar 17 18:06:07 +0000 2019,"Schaumburg, IL",,Panerabread,ElyseRox1,Thanks for the 26$ snack @panerabread it just keeps getting smaller and smaller https://t.co/QsmYEgvDf6,1107342362513149953,3299934595,healthy,il
65,,Sun Mar 17 18:05:34 +0000 2019,"Clayton, Missouri",,Panerabread,DaveKeiser,RT @Anthony_Marc_: .@panerabread if you get the naming rights we can call the stadium the “Bread Bowl”. Let’s make this happen. #MLS4THELOU…,1107342226143637504,633876354,healthy,mo
66,,Sun Mar 17 18:04:02 +0000 2019,"None ya business , Illinois",,Panerabread,trumainejordan,French onion ? Naw give me the broccoli cheddar https://t.co/DjzTVlbvWL,1107341837336014849,19641983,healthy,il
67,,Sun Mar 17 18:03:04 +0000 2019,#knickstape/Okc,,Panerabread,vonnadhadonn_11,🥔 https://t.co/bSulk1SHGw,1107341595123347464,69200548,healthy,probably not us
68,,Sun Mar 17 18:01:58 +0000 2019,In a Glass Case of Emotion,,Panerabread,EiffelTower_217,RT @haleyevans17: Let’s see what comes faster? My food or a response to my last tweet? @panerabread,1107341320476151808,419783938,healthy,probably not us
69,,Sun Mar 17 18:01:37 +0000 2019,"Brooklyn, NY",,Panerabread,kskovan,@panerabread Where do I buy a print of this bread bowl gloriousness?,1107341229799411712,40379140,healthy,ny
70,,Sun Mar 17 18:00:59 +0000 2019,"Charlotte, NC","{'id': '512a8a4a4c4b4be0', 'url': 'https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json', 'place_type': 'city', 'name': 'Charlotte', 'full_name': 'Charlotte, NC', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]}, 'attributes': {}}",Panerabread,kase3k,🤔 https://t.co/oj36TMh2DY,1107341070071926785,175389302,healthy,nc
71,,Sun Mar 17 18:00:34 +0000 2019,"Kansas City, MO",,Panerabread,bakemag,"The new You Mix Two menu from @panerabread lets customers fuse salads, sandwiches, and soups in unique ways.… https://t.co/kJ5RFYWBck",1107340965356945409,30242210,healthy,mo
72,,Sun Mar 17 18:00:09 +0000 2019,that lil' pwussy got sum powah,,Panerabread,LexingtonDrive_,Y’all bitches doing anything now. https://t.co/rT5s60ua4d,1107340863703781376,299851446,healthy,probably not us
73,,Sun Mar 17 17:54:09 +0000 2019,On the lanai.,,Panerabread,theeJAISTER,"Now I want grilled cheese and tomato soup. (I went grocery shopping this morning, but that’s not the point. 💀) https://t.co/YuayJ0YSB3",1107339351220985862,24518110,healthy,probably not us
74,,Sun Mar 17 17:53:51 +0000 2019,United States,,Panerabread,riapanacea,rancid. sick. disgusted. blocked. https://t.co/IeqGUb3Ktt,1107339274444251136,1121075881,healthy,probably not us
75,,Sun Mar 17 17:52:54 +0000 2019,if you know you know,,Panerabread,_cosey_,@panerabread I’m cool...,1107339036312694785,1117522494,healthy,probably not us
76,,Sun Mar 17 17:52:41 +0000 2019,LA || UK || IE,,Panerabread,DC1D30,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107338982206177280,2457007838,healthy,probably not us
77,,Sun Mar 17 17:48:14 +0000 2019,"Cypress,TX",,Panerabread,ShariAlligood,RT @panerabread: Mac + tomato soup = a combo so obviously delicious you’ll wonder why you didn’t try it sooner. Visit https://t.co/NJ5BGEhp…,1107337861643358208,183499177,healthy,tx
78,,Sun Mar 17 17:45:48 +0000 2019,,,Panerabread,SongRepeater,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107337249346088960,1120735537,healthy,probably not us
79,,Sun Mar 17 17:43:32 +0000 2019,GOOD OL' LAS VEGAS ,,Panerabread,MaryPerson,I’m calling the police https://t.co/EsigYwBVd1,1107336680879448065,21164149,healthy,probably not us
80,,Sun Mar 17 17:43:08 +0000 2019,Mermaid Lagoon Los Angeles/NYC,,Panerabread,rosegawd,Dust yourself off and try again https://t.co/iVlpmDZ7aK,1107336579637338112,158585424,healthy,probably not us
81,,Sun Mar 17 17:43:04 +0000 2019,"Chicago, IL",,Panerabread,emmmwalsh,RT @haleyevans17: Let’s see what comes faster? My food or a response to my last tweet? @panerabread,1107336562453430274,387282117,healthy,il
82,,Sun Mar 17 17:42:56 +0000 2019,"Chicago, IL",,Panerabread,emmmwalsh,RT @haleyevans17: If I had $1 for every pissed off person I’ve watched at @panerabread today I would be a millionaire. This is a joke.  Get…,1107336529343594502,387282117,healthy,il
83,,Sun Mar 17 17:42:30 +0000 2019,,,Panerabread,haleyevans17,Let’s see what comes faster? My food or a response to my last tweet? @panerabread,1107336418353922048,349285546,healthy,probably not us
84,,Sun Mar 17 17:42:21 +0000 2019,,,Panerabread,bbycostanza,RT @panerabread: Mac + tomato soup = a combo so obviously delicious you’ll wonder why you didn’t try it sooner. Visit https://t.co/NJ5BGEhp…,1107336383587405825,19515818,healthy,probably not us
85,,Sun Mar 17 17:41:53 +0000 2019,,,Panerabread,haleyevans17,If I had $1 for every pissed off person I’ve watched at @panerabread today I would be a millionaire. This is a joke… https://t.co/Vn9J2HgX2p,1107336264326483970,349285546,healthy,probably not us
86,,Sun Mar 17 17:41:53 +0000 2019,Georgia Peach ,,Panerabread,lovelyjessij,Ewww no. https://t.co/OOyWciUjqt,1107336263798013952,428328096,healthy,probably not us
87,,Sun Mar 17 17:40:28 +0000 2019,New York,,Panerabread,CoolNameGuy91,@_MichaelEM @aubreyyfaithh @panerabread I don't think that's why,1107335907559067656,806956645,healthy,ny
88,,Sun Mar 17 17:39:46 +0000 2019,,,Panerabread,GeorgiaStilwell,We asked for something new and different but at what cost https://t.co/uuQs8S2KW6,1107335733663006721,96007852,healthy,probably not us
89,,Sun Mar 17 17:39:19 +0000 2019,"Cary, NC",,Panerabread,919_falcoholic,"@panerabread On behalf of the Aries congregation, we would like to trade Sagittarius for their chicken noodle soup.",1107335619666235394,1054266042,healthy,nc
90,,Sun Mar 17 17:39:00 +0000 2019,"Illinois, USA",,Panerabread,Mobile_Airbrush,"Extremely upsetting when your delivery order comes not the way it was supposed to, I guess cold paninis are a new t… https://t.co/YMWAonBpV5",1107335539127144449,930523997938339840,healthy,il
91,,Sun Mar 17 17:37:27 +0000 2019,Florida,,Panerabread,evinonearth,Wow I love going to @panerabread and paying $15 for a sandwhich with nasty browning lettuce and soggy tomato ends.… https://t.co/1GGFiISCso,1107335149958639616,1633321914,healthy,fl
92,,Sun Mar 17 17:35:44 +0000 2019,In a Mirror,,Panerabread,Aye_Nikk,this is accurate af https://t.co/FE8uXJYHh0,1107334718113095680,40078253,healthy,probably not us
93,,Sun Mar 17 17:32:38 +0000 2019,"Los Angeles, CA",,Panerabread,billyjoebaldwin,@panerabread my first job ever was cashier at panera when i was fifteen. my manager frequently sexually harass me a… https://t.co/Gl0L5XS37t,1107333938400235520,727177557393678336,healthy,ca
94,,Sun Mar 17 17:32:16 +0000 2019,,,Panerabread,katarinagezal,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107333844766588928,2824798430,healthy,probably not us
95,,Sun Mar 17 17:31:52 +0000 2019,South Florida,,Panerabread,nort4short,@SocialBflyMag @Sephora @saks @panerabread @Spafinder @lordandtaylor 💚☘️ Great!,1107333744753606661,53795850,healthy,probably not us
96,,Sun Mar 17 17:31:16 +0000 2019,"Brooklyn, NY",,Panerabread,ElColtonShow,Stick that corn chowder shit up your ass. Don’t disrespect me https://t.co/giQKuI6U9f,1107333593049776130,39185354,healthy,ny
97,,Sun Mar 17 17:30:04 +0000 2019,,,Panerabread,theveganparent,Idk why I just paid $10 for a half empty lentil quinoa bowl @panerabread https://t.co/daA5LTSBAY,1107333289751265283,775124443966439424,healthy,probably not us
98,,Sun Mar 17 17:26:44 +0000 2019,,,Panerabread,talmagegross,Blocked and reported. https://t.co/5zLld0jq44,1107332450567356416,1126715556,healthy,probably not us
99,,Sun Mar 17 17:25:50 +0000 2019,,"{'id': '01d4e7421ef07326', 'url': 'https://api.twitter.com/1.1/geo/id/01d4e7421ef07326.json', 'place_type': 'city', 'name': 'Belleville', 'full_name': 'Belleville, IL', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-90.099191, 38.4682], [-89.905307, 38.4682], [-89.905307, 38.59106], [-90.099191, 38.59106]]]}, 'attributes': {}}",Panerabread,WhitleyDotson,"When you order a large Mac n cheese for your kids, and this is what they give you😑 Get it together @panerabread… https://t.co/0b3KqOkefA",1107332225127858176,622520238,healthy,probably not us
100,,Sun Mar 17 17:21:40 +0000 2019,"Glendale Heights, IL",,Panerabread,jkillasbabygirl,@jakemiller @panerabread omg YES PLEASE,1107331175687827457,1884653558,healthy,il
101,,Sun Mar 17 17:21:14 +0000 2019,"Glendale Heights, IL",,Panerabread,jkillasbabygirl,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107331066417819648,1884653558,healthy,il
102,,Sun Mar 17 17:20:58 +0000 2019,,,Panerabread,1Minus4,@panerabread Beep,1107331001389178880,317461050,healthy,probably not us
103,,Sun Mar 17 17:19:47 +0000 2019,. . -18 𝘳𝘱  ♫,,Panerabread,mewngii,"i’m gonna call gguk autumn squash from now on, bye bye https://t.co/L9dUJXSikZ",1107330702146596864,967896736630034432,healthy,probably not us
104,,Sun Mar 17 17:18:41 +0000 2019,,,Panerabread,Its_DemetricK,@panerabread Who?,1107330426467741696,60818859,healthy,probably not us
105,,Sun Mar 17 17:18:31 +0000 2019,"Maine, USA",,Panerabread,MichiAllen,"#Lunch at @panerabread always makes you happy. ____________________ 🥪🍎 

#PaneraBread #Panera #Pick2 #YouPick2… https://t.co/XVxL6lX0xc",1107330386194034688,29613036,healthy,me
106,,Sun Mar 17 17:17:27 +0000 2019,"Gahanna, OH","{'id': '3df0e3eb1e91170b', 'url': 'https://api.twitter.com/1.1/geo/id/3df0e3eb1e91170b.json', 'place_type': 'city', 'name': 'Columbus', 'full_name': 'Columbus, OH', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]]}, 'attributes': {}}",Panerabread,lovelykayaa,???? companies trying to capitalize on astrology becoming more mainstream are just ???? https://t.co/rfUXd6OpGv,1107330117146238977,931815305025871872,healthy,oh
107,,Sun Mar 17 17:14:54 +0000 2019,,,Panerabread,thereforeiham,Panera this is rude. Can you deliver to me? https://t.co/zGmZVndwnk,1107329475291676672,481750656,healthy,probably not us
108,,Sun Mar 17 17:14:46 +0000 2019,"Columbus, Ohio","{'id': '0b3e2cd30fd44002', 'url': 'https://api.twitter.com/1.1/geo/id/0b3e2cd30fd44002.json', 'place_type': 'poi', 'name': 'Panera Bread', 'full_name': 'Panera Bread', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-82.98211, 39.95176], [-82.98211, 39.95176], [-82.98211, 39.95176], [-82.98211, 39.95176]]]}, 'attributes': {}}",Panerabread,wmlesrob2,@panerabread ... third visit to different Panera’s in two weeks. What happened to the Baja Mac and Cheese?  #bajamacandcheese #panera,1107329442454614018,56796503,healthy,oh
109,,Sun Mar 17 17:14:06 +0000 2019,,,Panerabread,murrpus,@juliakatmorse @panerabread Ugh I’m sorry,1107329273986203649,426265591,healthy,probably not us
110,,Sun Mar 17 17:13:53 +0000 2019,"Pre: 40.9120184,-97.094668",,Panerabread,GaryTeSelle,"Yum with my hun and dot! (at @PaneraBread in Lincoln, NE) https://t.co/UpbkZytvWC",1107329219506438146,44876356,healthy,probably not us
111,,Sun Mar 17 17:12:25 +0000 2019,"Sunset Hills, MO",,Panerabread,askpanera,@tlw21677 Hi there - Please feel free to learn more about our donations here: https://t.co/GRfytYbiA7. Thanks so much for reaching out!,1107328848092385280,847890333648158720,healthy,mo
112,,Sun Mar 17 17:11:45 +0000 2019,,,Panerabread,LadyMayanna,@MsMoLogan @VoidDancerASU @MercedesBenz @Tesla @BMWUSA @panerabread The sunken part of the trunk in the Tesla is ni… https://t.co/AJx1BSWszs,1107328680638898176,977221722,healthy,probably not us
113,,Sun Mar 17 17:11:30 +0000 2019,,,Panerabread,raymail1962,@panerabread My mom made that for us 50 years ago. What I’m saying is it’s not new.,1107328618357837829,2425718813,healthy,probably not us
114,,Sun Mar 17 17:10:48 +0000 2019,"Mebane, NC",,Panerabread,DGrev,"@panerabread of Burlington NC is on the decline, especially on Sundays. They are teaching me patience is a virtue.… https://t.co/8lCtuFprW6",1107328443987963905,23827925,healthy,nc
